"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Invalid quote class provided for the PDF. Expected class \Vnecoms\Quotation\Model\Quote","Invalid quote class provided for the PDF. Expected class \Vnecoms\Quotation\Model\Quote"
"The quote object is not specified.","The quote object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Could not save the quote: %1","Could not save the quote: %1"
"Quote with id ""%1"" does not exist.","Quote with id ""%1"" does not exist."
"Could not cancel the quote","Could not cancel the quote"
"Could not cancel the quote: %1","Could not cancel the quote: %1"
"Could not accept the quote: %1","Could not accept the quote: %1"
"Could not approve the quote: %1","Could not approve the quote: %1"
" item"," item"
" items"," items"
"Yes and Required","Yes and Required"
Yes,Yes
No,No
Starting,Starting
"Created, not sent","Created, not sent"
Processing,Processing
"Proposal Expired","Proposal Expired"
"Proposal on Hold","Proposal on Hold"
"Proposal Cancelled","Proposal Cancelled"
"Proposal Sent","Proposal Sent"
"Proposal Rejected","Proposal Rejected"
"Proposal Accepted","Proposal Accepted"
Ordered,Ordered
"Load customer quote error","Load customer quote error"
"The item '%1' is related to the quote #%2. It's not allowed to change the qty.","The item '%1' is related to the quote #%2. It's not allowed to change the qty."
View,View
Delete,Delete
"Delete ""${ $.$data.entity_id }""","Delete ""${ $.$data.entity_id }"""
"Are you sure you wan't to delete quote #""${ $.$data.entity_id }"" record?","Are you sure you wan't to delete quote #""${ $.$data.entity_id }"" record?"
"Account Information","Account Information"
"Customer Name","Customer Name"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Customer Tel","Customer Tel"
"Customer Group","Customer Group"
"Quote & Account Information","Quote & Account Information"
"Quote Date","Quote Date"
"Quote Date (%1)","Quote Date (%1)"
"Purchased From","Purchased From"
"Placed from IP","Placed from IP"
Status,Status
"Reminder Date","Reminder Date"
"send reminder email","send reminder email"
"Expiration Date","Expiration Date"
"send expiration email","send expiration email"
Note,Note
"Enter Your comment","Enter Your comment"
"Customer Remark","Customer Remark"
Product,Product
"Original Price","Original Price"
"Qty & Proposals","Qty & Proposals"
"No quote items","No quote items"
Actions,Actions
Price,Price
"Margin GP","Margin GP"
Default,Default
Add,Add
"Save All","Save All"
"Apply Proposal","Apply Proposal"
" as percentage"," as percentage"
Apply,Apply
Totals,Totals
"records found","records found"
selected,selected
"per page","per page"
"Previous page","Previous page"
