"Cancel","Cancel"
"Print RMA","Print RMA"
"Confirm Sending","Confirm Sending"
"Request Type :","Request Type :"
"Create At :","Create At :"
"Reason :","Reason :"
"Package Opened :","Package Opened :"
"Status :","Status :"
"Tracking Number:","Tracking Number:"
"Messages","Messages"
"&laquo;Back to My Rma","&laquo;Back to My Rma"
"to %1","to %1"
"Quote","Quote"
"Sending ...","Sending ..."
"Items","Items"
"Qty","Qty"
"This order doesnot have any item","This order doesnot have any item"
"Reply","Reply"
"* Required Fields","* Required Fields"
"Allow Extension :","Allow Extension :"
"Discard","Discard"
"Send","Send"
"Please enter message","Please enter message"
"Other RMA for this product:","Other RMA for this product:"
"&laquo;Back to List Rma","&laquo;Back to List Rma"
"Products","Products"
"Qty RMA","Qty RMA"
"Delete","Delete"
"Request Information","Request Information"
"---Select an order---","---Select an order---"
"Product","Product"
"Sku","Sku"
"No order selected","No order selected"
"No items selected","No items selected"
"Some error occurs. Please, try again to select order","Some error occurs. Please, try again to select order"
"No order selected","No order selected"
"--- Select an Reason ---","--- Select an Reason ---"
"Other Reason","Other Reason"
"Shipment Tracking Number","Shipment Tracking Number"
"Order","Order"
"Search Quick Reponse","Search Quick Reponse"
"Order Increment Id #","Order Increment Id #"
"Email","Email"
"Submit RMA","Submit RMA"
"Back List RMA","Back List RMA"
"New RMA","New RMA"
"Log Out Order","Log Out Order"
"Type","Type"
"Created At","Created At"
"Status","Status"
"View","View"
"There is no request rma for this order.","There is no request rma for this order."
"this is a required field.","this is a required field."
"RMA ID #","RMA ID #"
"Order ID #","Order ID #"
"There is no request rma.","There is no request rma."
"Are you sure you would like to cancel this RMA?","Are you sure you would like to cancel this RMA?"
"Hello %name","Hello %name"
"New message appended to RMA <strong>#%increnment_id</strong>","New message appended to RMA <strong>#%increnment_id</strong>"
"Name: %customer_name","Name: %customer_name"
"Email: %customer_email","Email: %customer_email"
"Order #: %order_id","Order #: %order_id"
"%message","%message"
"RMA #%increment_id has been approved.","RMA #%increment_id has been approved."
"Your RMA #%increment_id has been approved.","Your RMA #%increment_id has been approved."
"Please send your package to:","Please send your package to:"
"and press "Confirm Sending" button after.","and press "Confirm Sending" button after."
"RMA #%increment_id has been canceled","RMA #%increment_id has been canceled"
"RMA details","RMA details"
"Order ID: #%order_id","Order ID: #%order_id"
"Customer: %customer_name <%customer_email>","Customer: %customer_name <%customer_email>"
"Date: %created_at","Date: %created_at"
"Request Type: %request_type","Request Type: %request_type"
"Request State: %request_state","Request State: %request_state"
"Package Opened: %pack_open","Package Opened: %pack_open"
"Your RMA #%increment_id has been successfully canceled.","Your RMA #%increment_id has been successfully canceled."
"RMA #%increment_id has been changed status to %status.","RMA #%increment_id has been changed status to %status."
"Your RMA #%increment_id has been changed status to %status.","Your RMA #%increment_id has been changed status to %status."
"A new RMA #%increment_id is initiated by %customer_name <%customer_email> for order #%order_id","A new RMA #%increment_id is initiated by %customer_name <%customer_email> for order #%order_id"
"RMA #%increment_id successfully created.","RMA #%increment_id successfully created."
"RMA #%increment_id has been successfully resolved with status %status","RMA #%increment_id has been successfully resolved with status %status"
"Your RMA #%increment_id has been successfully resolved with status %status.","Your RMA #%increment_id has been successfully resolved with status %status."
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Change status","Change status"
"Disable","Disable"
"Enable","Enable"
"ID","ID"
"Title","Title"
"General Information","General Information"
"Email Template","Email Template"
"Labels","Labels"
"Request information","Request information"
"Package Opened","Package Opened"
"Tracking Code","Tracking Code"
"Reason","Reason"
"Order Item Id","Order Item Id"
"Order #","Order #"
"Message Information","Message Information"
"Add RMA","Add RMA"
"Print PDF","Print PDF"
"Increment ID","Increment ID"
"Order ID","Order ID"
"Customer","Customer"
"Created time","Created time"
"Last reply time","Last reply time"
"Add New Reponse","Add New Reponse"
"Add New Reason","Add New Reason"
"Process Queue","Process Queue"
"Sender","Sender"
"Email To","Email To"
"Website","Website"
"Notifications","Notifications"
"There is no notification.","There is no notification."
"Date","Date"
"Admin/Customer","Admin/Customer"
"No status change history","No status change history"
"Error","Error"
"Name","Name"
"Created Time","Created Time"
"Last Reply","Last Reply"
"IP address","IP address"
"Country","Country"
"City","City"
"SKU","SKU"
"Updated Time","Updated Time"
"Action","Action"
"----- No Template  -----","----- No Template  -----"
"Allow extension : %1","Allow extension : %1"
"Edit","Edit"
"Process","Process"
"Important Unread Messages","Important Unread Messages"
"You have %1 pending rma.","You have %1 pending rma."
"Status with id "%1" does not exist.","Status with id "%1" does not exist."
"Request with id "%1" does not exist.","Request with id "%1" does not exist."
"Please enter reason.","Please enter reason."
"Please select type.","Please select type."
"Please enter order.","Please enter order."
"Please enter customer email.","Please enter customer email."
"Order is not exist.","Order is not exist."
"Request should have at least one item.","Request should have at least one item."
"Wrong Qty Item.","Wrong Qty Item."
"Something went wrong while saving the item(s).","Something went wrong while saving the item(s)."
"The request is not exist","The request is not exist"
"Something went wrong while saving the address(s).","Something went wrong while saving the address(s)."
"Something went wrong while saving the message(s).","Something went wrong while saving the message(s)."
"Something went wrong while saving the status history(s).","Something went wrong while saving the status history(s)."
"Something went wrong while saving the email queue.","Something went wrong while saving the email queue."
"Something went wrong while getting the file url.","Something went wrong while getting the file url."
"Yes","Yes"
"No","No"
"Reponse with id "%1" does not exist.","Reponse with id "%1" does not exist."
"Reason with id "%1" does not exist.","Reason with id "%1" does not exist."
"Token with id "%1" does not exist.","Token with id "%1" does not exist."
"Operator with id "%1" does not exist.","Operator with id "%1" does not exist."
"Message with id "%1" does not exist.","Message with id "%1" does not exist."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"A folder does not have write permission, you need set write permission for that folder : pub/media/rma","A folder does not have write permission, you need set write permission for that folder : pub/media/rma"
"All","All"
"Admin Only","Admin Only"
"Customer Only","Customer Only"
"%1 (Default)","%1 (Default)"
"Enabled","Enabled"
"Disabled","Disabled"
"The message should be an instance of \Zend_Mail","The message should be an instance of \Zend_Mail"
"Please define the PDF object before using.","Please define the PDF object before using."
"We don\'t recognize the draw line data. Please define the "lines" array.","We don\'t recognize the draw line data. Please define the "lines" array."
"GeoIP does not exist:","GeoIP does not exist:"
"RMA Status Pedding To Customer","RMA Status Pedding To Customer"
"RMA Status Pedding To Admin","RMA Status Pedding To Admin"
"RMA Status Approval To Customer","RMA Status Approval To Customer"
"RMA Status Approval To Admin","RMA Status Approval To Admin"
"RMA Status Packsent To Customer","RMA Status Packsent To Customer"
"RMA Status Packsent To Admin","RMA Status Packsent To Admin"
"RMA Status Package Received To Customer","RMA Status Package Received To Customer"
"RMA Status Package Received To Admin","RMA Status Package Received To Admin"
"RMA Status Canceled To Customer","RMA Status Canceled To Customer"
"RMA Status Canceled To Admin","RMA Status Canceled To Admin"
"RMA Status Refunded To Customer","RMA Status Refunded To Customer"
"RMA Status Refunded To Admin","RMA Status Refunded To Admin"
"RMA Status Replaced To Customer","RMA Status Replaced To Customer"
"RMA Status Replaced To Admin","RMA Status Replaced To Admin"
"RMA Message To Customer","RMA Message To Customer"
"RMA Message To Admin","RMA Message To Admin"
"VNECOMS","VNECOMS"
"RMA","RMA"
"General","General"
"<![CDATA[Allow to request RMA after order completion,days <strong style="color: #FF0000;">*</strong>]]>","<![CDATA[Allow to request RMA after order completion,days <strong style="color: #FF0000;">*</strong>]]>"
"Allow guests to request RMA","Allow guests to request RMA"
"Enable 'Print label' button","Enable 'Print label' button"
"Allow add 'Other' option for reasons","Allow add 'Other' option for reasons"
"Allow per-order item RMA","Allow per-order item RMA"
"Allowed file extensions","Allowed file extensions"
"Prefix","Prefix"
"Suffix","Suffix"
"Start Counter From","Start Counter From"
"Counter Increment Step","Counter Increment Step"
"Number Length","Number Length"
"Reset counter","Reset counter"
"RMA Policy","RMA Policy"
"Show policy","Show policy"
"Policy block","Policy block"
"Contacts","Contacts"
"Enable email notifications","Enable email notifications"
"Default Notify Message To Customer","Default Notify Message To Customer"
"Default Notify Message To Admin","Default Notify Message To Admin"
"RMA department display name","RMA department display name"
"RMA department email","RMA department email"
"RMA department address","RMA department address"
"Email Sender","Email Sender"
"reCAPTCHA","reCAPTCHA"
"Site Key","Site Key"
"Secret Key","Secret Key"
"Enable send email after close ticket","Enable send email after close ticket"
"<![CDATA[This email will be sent to customer when a message send.]]>","<![CDATA[This email will be sent to customer when a message send.]]>"
"<![CDATA[This email will be sent to admin when a message send.]]>","<![CDATA[This email will be sent to admin when a message send.]]>"
"Manage RMA","Manage RMA"
"Manage Statuses","Manage Statuses"
"Manage Reasons","Manage Reasons"
"Manage Quick Responses","Manage Quick Responses"
"Manage Email Queue","Manage Email Queue"
"Configuration","Configuration"
"This RMA no longer exists.","This RMA no longer exists."
"Administrator","Administrator"
"Please confirm. I\'m not a robot.","Please confirm. I\'m not a robot."
"You saved request #","You saved request #"
"Admin","Admin"
"This order has been placed by registered customer. Please, authorize and request RMA via customer account.","This order has been placed by registered customer. Please, authorize and request RMA via customer account."
"The order were overdue","The order were overdue"
"Order ID and customer email didn't match each other","Order ID and customer email didn't match each other"
"Couldn't load order by given order ID","Couldn't load order by given order ID"
"New Request","New Request"
"RMA - Order #","RMA - Order #"
"Rma was successfully changed status to package sent","Rma was successfully changed status to package sent"
"Rma was successfully canceled","Rma was successfully canceled"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Request RMA","Request RMA"
"You saved this status.","You saved this status."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the status(s) status.","Something went wrong while updating the status(s) status."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"RMA - Status","RMA - Status"
"This Status no longer exists.","This Status no longer exists."
"Manage Status","Manage Status"
"New Status","New Status"
"Edit Status","Edit Status"
"You deleted the status.","You deleted the status."
"We can\'t find a status to delete.","We can\'t find a status to delete."
"View RMA","View RMA"
"Requests","Requests"
"Rma was successfully changed status to package received","Rma was successfully changed status to package received"
"Manage Requests","Manage Requests"
"A total of %1 record(s) have been changed status.","A total of %1 record(s) have been changed status."
"There are no printable documents related to selected rmas.","There are no printable documents related to selected rmas."
"RMA - Requests","RMA - Requests"
"This customer no longer exists.","This customer no longer exists."
"This request no longer exists.","This request no longer exists."
"Rma was successfully resolved","Rma was successfully resolved"
"Rma was successfully changed status to approval","Rma was successfully changed status to approval"
"Address do not exist!","Address do not exist!"
"You saved this reponse.","You saved this reponse."
"Reponse","Reponse"
"Something went wrong while updating the reponse(s) status.","Something went wrong while updating the reponse(s) status."
"RMA - Reponse","RMA - Reponse"
"This Reponse no longer exists.","This Reponse no longer exists."
"Manage Reponse","Manage Reponse"
"New Reponse","New Reponse"
"Edit Reponse","Edit Reponse"
"You deleted the reponse.","You deleted the reponse."
"We can\'t find a reponse to delete.","We can\'t find a reponse to delete."
"You saved this reason.","You saved this reason."
"Reasons","Reasons"
"Something went wrong while updating the reason(s) status.","Something went wrong while updating the reason(s) status."
"RMA - Reason","RMA - Reason"
"This Reason no longer exists.","This Reason no longer exists."
"Manage Reason","Manage Reason"
"New Reason","New Reason"
"Edit Reason","Edit Reason"
"You deleted the reason.","You deleted the reason."
"We can\'t find a reason to delete.","We can\'t find a reason to delete."
"Notify Queue","Notify Queue"
"This queue no longer exists.","This queue no longer exists."
"You processed this queue.","You processed this queue."
"Something went wrong while process the queue.","Something went wrong while process the queue."
"A total of %1 record(s) have been processed.","A total of %1 record(s) have been processed."
"RMA - Notify Queue","RMA - Notify Queue"
"Print RMA # %1","Print RMA # %1"
"Submit","Submit"
"Me","Me"
"Message","Message"
"Refund","Refund"
"Replace","Replace"
"Save Status","Save Status"
"Save and Continue Edit","Save and Continue Edit"
"Reset","Reset"
"Delete Pattern","Delete Pattern"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Back"
"Store View Template Notify","Store View Template Notify"
"Send Admin Template","Send Admin Template"
"Send Customer Template","Send Customer Template"
"Store View Specific Labels","Store View Specific Labels"
"Print","Print"
"Delete RMA","Delete RMA"
"Cancel RMA","Cancel RMA"
"Approval RMA","Approval RMA"
"Confirm Package Received","Confirm Package Received"
"Resolve RMA","Resolve RMA"
"View RMA #'%1","View RMA #'%1"
"RMA Information","RMA Information"
"Customer Infomation","Customer Infomation"
"RMA Items","RMA Items"
"Customer Address","Customer Address"
"RMA History","RMA History"
"Other RMA","Other RMA"
"Save Request","Save Request"
"Contact Information","Contact Information"
"First Name","First Name"
"Last Name","Last Name"
"Company","Company"
"Telephone","Telephone"
"Fax","Fax"
"Additional Information","Additional Information"
"Return Address","Return Address"
"Address","Address"
"State","State"
"Postcode","Postcode"
"[A]","[A]"
"[C]","[C]"
"Update Address","Update Address"
"Save Reponse","Save Reponse"
"Save Reason","Save Reason"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
